id,device_id,device_name
0,i386,iPhone Simulator
1,x86_64,iPhone Simulator
2,arm64,iPhone Simulator
3,"iPhone1,1",iPhone
4,"iPhone1,2",iPhone 3G
5,"iPhone2,1",iPhone 3GS
6,"iPhone3,1",iPhone 4
7,"iPhone3,2",iPhone 4 GSM Rev A
8,"iPhone3,3",iPhone 4 CDMA
9,"iPhone4,1",iPhone 4S
10,"iPhone5,1",iPhone 5 (GSM)
11,"iPhone5,2",iPhone 5 (GSM+CDMA)
12,"iPhone5,3",iPhone 5C (GSM)
13,"iPhone5,4",iPhone 5C (Global)
14,"iPhone6,1",iPhone 5S (GSM)
15,"iPhone6,2",iPhone 5S (Global)
16,"iPhone7,1",iPhone 6 Plus
17,"iPhone7,2",iPhone 6
18,"iPhone8,1",iPhone 6s
19,"iPhone8,2",iPhone 6s Plus
20,"iPhone8,4",iPhone SE (GSM)
21,"iPhone9,1",iPhone 7
22,"iPhone9,2",iPhone 7 Plus
23,"iPhone9,3",iPhone 7
24,"iPhone9,4",iPhone 7 Plus
25,"iPhone10,1",iPhone 8
26,"iPhone10,2",iPhone 8 Plus
27,"iPhone10,3",iPhone X Global
28,"iPhone10,4",iPhone 8
29,"iPhone10,5",iPhone 8 Plus
30,"iPhone10,6",iPhone X GSM
31,"iPhone11,2",iPhone XS
32,"iPhone11,4",iPhone XS Max
33,"iPhone11,6",iPhone XS Max Global
34,"iPhone11,8",iPhone XR
35,"iPhone12,1",iPhone 11
36,"iPhone12,3",iPhone 11 Pro
37,"iPhone12,5",iPhone 11 Pro Max
38,"iPhone12,8",iPhone SE 2nd Gen
39,"iPhone13,1",iPhone 12 Mini
40,"iPhone13,2",iPhone 12
41,"iPhone13,3",iPhone 12 Pro
42,"iPhone13,4",iPhone 12 Pro Max
43,"iPhone14,2",iPhone 13 Pro
44,"iPhone14,3",iPhone 13 Pro Max
45,"iPhone14,4",iPhone 13 Mini
46,"iPhone14,5",iPhone 13
47,"iPhone14,6",iPhone SE 3rd Gen
48,"iPod1,1",1st Gen iPod
49,"iPod2,1",2nd Gen iPod
50,"iPod3,1",3rd Gen iPod
51,"iPod4,1",4th Gen iPod
52,"iPod5,1",5th Gen iPod
53,"iPod7,1",6th Gen iPod
54,"iPod9,1",7th Gen iPod
55,"iPad1,1",iPad
56,"iPad1,2",iPad 3G
57,"iPad2,1",2nd Gen iPad
58,"iPad2,2",2nd Gen iPad GSM
59,"iPad2,3",2nd Gen iPad CDMA
60,"iPad2,4",2nd Gen iPad New Revision
61,"iPad3,1",3rd Gen iPad
62,"iPad3,2",3rd Gen iPad CDMA
63,"iPad3,3",3rd Gen iPad GSM
64,"iPad2,5",iPad mini
65,"iPad2,6",iPad mini GSM+LTE
66,"iPad2,7",iPad mini CDMA+LTE
67,"iPad3,4",4th Gen iPad
68,"iPad3,5",4th Gen iPad GSM+LTE
69,"iPad3,6",4th Gen iPad CDMA+LTE
70,"iPad4,1",iPad Air (WiFi)
71,"iPad4,2",iPad Air (GSM+CDMA)
72,"iPad4,3",1st Gen iPad Air (China)
73,"iPad4,4",iPad mini Retina (WiFi)
74,"iPad4,5",iPad mini Retina (GSM+CDMA)
75,"iPad4,6",iPad mini Retina (China)
76,"iPad4,7",iPad mini 3 (WiFi)
77,"iPad4,8",iPad mini 3 (GSM+CDMA)
78,"iPad4,9",iPad Mini 3 (China)
79,"iPad5,1",iPad mini 4 (WiFi)
80,"iPad5,2",4th Gen iPad mini (WiFi+Cellular)
81,"iPad5,3",iPad Air 2 (WiFi)
82,"iPad5,4",iPad Air 2 (Cellular)
83,"iPad6,3","iPad Pro (9.7 inch, WiFi)"
84,"iPad6,4","iPad Pro (9.7 inch, WiFi+LTE)"
85,"iPad6,7","iPad Pro (12.9 inch, WiFi)"
86,"iPad6,8","iPad Pro (12.9 inch, WiFi+LTE)"
87,"iPad6,11",iPad (2017)
88,"iPad6,12",iPad (2017)
89,"iPad7,1",iPad Pro 2nd Gen (WiFi)
90,"iPad7,2",iPad Pro 2nd Gen (WiFi+Cellular)
91,"iPad7,3",iPad Pro 10.5-inch 2nd Gen
92,"iPad7,4",iPad Pro 10.5-inch 2nd Gen
93,"iPad7,5",iPad 6th Gen (WiFi)
94,"iPad7,6",iPad 6th Gen (WiFi+Cellular)
95,"iPad7,11",iPad 7th Gen 10.2-inch (WiFi)
96,"iPad7,12",iPad 7th Gen 10.2-inch (WiFi+Cellular)
97,"iPad8,1",iPad Pro 11 inch 3rd Gen (WiFi)
98,"iPad8,2","iPad Pro 11 inch 3rd Gen (1TB, WiFi)"
